ExecutionTime: 2018-12-25 15:01:49; Path：IsEDP.Login.login_st.LoginTest.test_passwordError; TotalUserTime: 4.3210s; Message: None
ExecutionTime: 2018-12-25 15:01:55; Path：IsEDP.Login.login_st.LoginTest.test_passwordForgetError; TotalUserTime: 5.4800s; Message: None
ExecutionTime: 2018-12-25 15:01:58; Path：IsEDP.Login.login_st.LoginTest.test_passwordForgetNull; TotalUserTime: 3.3260s; Message: None
ExecutionTime: 2018-12-25 15:02:03; Path：IsEDP.Login.login_st.LoginTest.test_passwordLong; TotalUserTime: 4.7330s; Message: None
ExecutionTime: 2018-12-25 15:02:07; Path：IsEDP.Login.login_st.LoginTest.test_passwordNull; TotalUserTime: 3.3110s; Message: None
ExecutionTime: 2018-12-25 15:02:11; Path：IsEDP.Login.login_st.LoginTest.test_passwordSpace; TotalUserTime: 4.2990s; Message: None
ExecutionTime: 2018-12-25 15:02:17; Path：IsEDP.Login.login_st.LoginTest.test_passwordSuccessAccount; TotalUserTime: 5.3850s; Message: None
ExecutionTime: 2018-12-25 15:05:41; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryAfter; TotalUserTime: 4.7640s; Message: None
ExecutionTime: 2018-12-25 15:05:45; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryFront; TotalUserTime: 4.3320s; Message: None
ExecutionTime: 2018-12-25 15:05:53; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryFront; TotalUserTime: 4.3520s; Message: None
ExecutionTime: 2018-12-25 15:05:58; Path：IsEDP.Login.login_st.LoginTest.test_accountError; TotalUserTime: 4.3430s; Message: None
ExecutionTime: 2018-12-25 15:06:03; Path：IsEDP.Login.login_st.LoginTest.test_accountLong; TotalUserTime: 4.8170s; Message: None
ExecutionTime: 2018-12-25 15:06:06; Path：IsEDP.Login.login_st.LoginTest.test_accountNull; TotalUserTime: 3.3300s; Message: None
ExecutionTime: 2018-12-25 15:06:11; Path：IsEDP.Login.login_st.LoginTest.test_accountSpace; TotalUserTime: 4.3270s; Message: None
ExecutionTime: 2018-12-25 15:06:15; Path：IsEDP.Login.login_st.LoginTest.test_accountSymbol; TotalUserTime: 4.3700s; Message: None
ExecutionTime: 2018-12-25 15:06:24; Path：IsEDP.Login.login_st.LoginTest.test_errorPhone; TotalUserTime: 8.6080s; Message: None
ExecutionTime: 2018-12-25 15:06:26; Path：IsEDP.Login.login_st.LoginTest.test_loginLogo; TotalUserTime: 1.2260s; Message: None
ExecutionTime: 2018-12-25 15:06:30; Path：IsEDP.Login.login_st.LoginTest.test_passwordBoundaryAfter; TotalUserTime: 4.5530s; Message: None
ExecutionTime: 2018-12-25 15:06:35; Path：IsEDP.Login.login_st.LoginTest.test_passwordBoundaryFront; TotalUserTime: 4.3360s; Message: None
ExecutionTime: 2018-12-25 15:06:39; Path：IsEDP.Login.login_st.LoginTest.test_passwordError; TotalUserTime: 4.3320s; Message: None
ExecutionTime: 2018-12-25 15:06:45; Path：IsEDP.Login.login_st.LoginTest.test_passwordForgetError; TotalUserTime: 5.4450s; Message: None
ExecutionTime: 2018-12-25 15:06:49; Path：IsEDP.Login.login_st.LoginTest.test_passwordForgetNull; TotalUserTime: 3.3050s; Message: None
ExecutionTime: 2018-12-25 15:06:54; Path：IsEDP.Login.login_st.LoginTest.test_passwordLong; TotalUserTime: 4.7200s; Message: None
ExecutionTime: 2018-12-25 15:06:57; Path：IsEDP.Login.login_st.LoginTest.test_passwordNull; TotalUserTime: 3.3030s; Message: None
ExecutionTime: 2018-12-25 15:07:02; Path：IsEDP.Login.login_st.LoginTest.test_passwordSpace; TotalUserTime: 4.3100s; Message: None
ExecutionTime: 2018-12-25 15:07:07; Path：IsEDP.Login.login_st.LoginTest.test_passwordSuccessAccount; TotalUserTime: 5.4260s; Message: None
ExecutionTime: 2018-12-25 15:07:18; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 15:07:22; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 15:13:48; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 15:15:26; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 15:16:57; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 15:37:02; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0010s; Message: None
ExecutionTime: 2018-12-25 15:38:28; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryAfter; TotalUserTime: 4.3890s; Message: None
ExecutionTime: 2018-12-25 15:38:32; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryFront; TotalUserTime: 4.3170s; Message: None
ExecutionTime: 2018-12-25 15:38:37; Path：IsEDP.Login.login_st.LoginTest.test_accountError; TotalUserTime: 4.3690s; Message: None
ExecutionTime: 2018-12-25 15:38:42; Path：IsEDP.Login.login_st.LoginTest.test_accountLong; TotalUserTime: 4.7670s; Message: None
ExecutionTime: 2018-12-25 15:38:45; Path：IsEDP.Login.login_st.LoginTest.test_accountNull; TotalUserTime: 3.2960s; Message: None
ExecutionTime: 2018-12-25 15:38:50; Path：IsEDP.Login.login_st.LoginTest.test_accountSpace; TotalUserTime: 4.3050s; Message: None
ExecutionTime: 2018-12-25 15:38:54; Path：IsEDP.Login.login_st.LoginTest.test_accountSymbol; TotalUserTime: 4.3790s; Message: None
ExecutionTime: 2018-12-25 15:39:02; Path：IsEDP.Login.login_st.LoginTest.test_errorPhone; TotalUserTime: 7.8780s; Message: None
ExecutionTime: 2018-12-25 15:39:03; Path：IsEDP.Login.login_st.LoginTest.test_loginLogo; TotalUserTime: 0.6300s; Message: None
ExecutionTime: 2018-12-25 15:39:08; Path：IsEDP.Login.login_st.LoginTest.test_passwordBoundaryAfter; TotalUserTime: 4.8650s; Message: None
ExecutionTime: 2018-12-25 15:39:12; Path：IsEDP.Login.login_st.LoginTest.test_passwordBoundaryFront; TotalUserTime: 4.2880s; Message: None
ExecutionTime: 2018-12-25 15:39:17; Path：IsEDP.Login.login_st.LoginTest.test_passwordError; TotalUserTime: 4.2920s; Message: None
ExecutionTime: 2018-12-25 15:39:22; Path：IsEDP.Login.login_st.LoginTest.test_passwordForgetError; TotalUserTime: 5.4620s; Message: None
