ExecutionTime: 2018-12-17 17:30:40 ; Path：IsEDP.SysManager.menu_st.MenuManager.test_createMenu ; TotalUserTime: 0.0009999275207519531 ; Message: None
ExecutionTime: 2018-12-17 17:30:40 ; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:30:50 ; Path：IsEDP.SysManager.role_st.MenuManager.test_createIsNull ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:30:50 ; Path：IsEDP.SysManager.role_st.MenuManager.test_createRole ; TotalUserTime: 0.0009999275207519531 ; Message: None
ExecutionTime: 2018-12-17 17:33:42 ; Path：IsEDP.SysManager.menu_st.MenuManager.test_createMenu ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:33:42 ; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:33:51 ; Path：IsEDP.SysManager.role_st.MenuManager.test_createIsNull ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:33:51 ; Path：IsEDP.SysManager.role_st.MenuManager.test_createRole ; TotalUserTime: 0.0009999275207519531 ; Message: None
ExecutionTime: 2018-12-17 17:34:11 ; Path：IsEDP.SysManager.menu_st.MenuManager.test_createMenu ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:34:11 ; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:34:20 ; Path：IsEDP.SysManager.role_st.MenuManager.test_createIsNull ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:34:20 ; Path：IsEDP.SysManager.role_st.MenuManager.test_createRole ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:34:39 ; Path：IsEDP.SysManager.menu_st.MenuManager.test_createMenu ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:34:39 ; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:34:49 ; Path：IsEDP.SysManager.role_st.MenuManager.test_createIsNull ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:34:49 ; Path：IsEDP.SysManager.role_st.MenuManager.test_createRole ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:37:13 ; Path：IsEDP.SysManager.menu_st.MenuManager.test_createMenu ; TotalUserTime: 0.0009999275207519531 ; Message: None
ExecutionTime: 2018-12-17 17:37:13 ; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:37:34 ; Path：IsEDP.SysManager.role_st.MenuManager.test_createIsNull ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:37:34 ; Path：IsEDP.SysManager.role_st.MenuManager.test_createRole ; TotalUserTime: 0.002000093460083008 ; Message: None
ExecutionTime: 2018-12-17 17:40:48 ; Path：IsEDP.SysManager.menu_st.MenuManager.test_createMenu ; TotalUserTime: 0.0010001659393310547 ; Message: None
ExecutionTime: 2018-12-17 17:40:48 ; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:41:27 ; Path：IsEDP.SysManager.role_st.MenuManager.test_createIsNull ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 17:41:27 ; Path：IsEDP.SysManager.role_st.MenuManager.test_createRole ; TotalUserTime: 0.0019998550415039062 ; Message: None
