时间: 2018-12-04 14:01:32,618     方法: logging_debug    消息：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
时间: 2018-12-04 14:01:32,618     方法: logging_debug    消息：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
时间: 2018-12-04 14:01:32,618     方法: logging_debug    消息：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
时间: 2018-12-04 14:01:32,618     方法: logging_debug    消息：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
时间: 2018-12-04 14:01:34,695     方法: logging_debug    消息：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
时间: 2018-12-04 14:01:34,695     方法: logging_debug    消息：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
时间: 2018-12-04 14:01:34,695     方法: logging_debug    消息：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
时间: 2018-12-04 14:01:34,695     方法: logging_debug    消息：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
时间: 2018-12-04 14:01:34,695     方法: logging_debug    消息：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
时间: 2018-12-04 14:01:34,695     方法: logging_debug    消息：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
时间: 2018-12-04 14:02:20,295     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
时间: 2018-12-04 14:02:20,295     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
时间: 2018-12-04 14:02:20,295     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
时间: 2018-12-04 14:02:20,295     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
时间: 2018-12-04 14:02:20,295     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
时间: 2018-12-04 14:02:20,295     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
时间: 2018-12-04 14:02:20,295     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
时间: 2018-12-04 14:02:21,561     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
时间: 2018-12-04 14:02:21,561     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
时间: 2018-12-04 14:02:21,561     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
时间: 2018-12-04 14:02:21,561     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
时间: 2018-12-04 14:02:21,561     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
时间: 2018-12-04 14:02:21,561     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
